COUNTRY,LOWER_OR_SINGLE_HOUSE_ELECTIONS,LOWER_OR_SINGLE_HOUSE_SEATS,LOWER_OR_SINGLE_HOUSE_WOMEN,LOWER_OR_SINGLE_HOUSE_PERCENT_W,UPPER_HOUSE_OR_SENATE_ELECTIONS,UPPER_HOUSE_OR_SENATE_SEATS,UPPER_HOUSE_OR_SENATE_WOMEN,UPPER_HOUSE_OR_SENATE_PERCENT_W
Saint Vincent and the Grenadines,2005-12-01,22.0,4.0,182.0,1970-01-01,0.0,0.0,0.0
Cape Verde,2006-01-01,72.0,13.0,181.0,1970-01-01,0.0,0.0,0.0
Sudan,2005-08-01,443.0,80.0,181.0,2005-08-01,50.0,3.0,60.0
Lithuania,2008-10-01,141.0,25.0,177.0,1970-01-01,0.0,0.0,0.0
United States of America,2008-11-01,431.0,75.0,174.0,2008-11-01,99.0,17.0,172.0
Gabon,2001-12-01,120.0,20.0,167.0,2003-02-01,91.0,14.0,154.0
Cambodia,2008-07-01,123.0,20.0,163.0,2006-01-01,61.0,9.0,148.0
Kazakhstan,2007-08-01,107.0,17.0,159.0,2008-10-01,32.0,1.0,31.0
Czech Republic,2006-06-01,200.0,31.0,155.0,2008-10-01,81.0,14.0,173.0
Zambia,2006-09-01,158.0,24.0,152.0,1970-01-01,0.0,0.0,0.0
Zimbabwe,2008-03-01,210.0,32.0,152.0,2008-03-01,93.0,23.0,247.0
San Marino,2008-11-01,60.0,9.0,150.0,1970-01-01,0.0,0.0,0.0
Greece,2007-09-01,300.0,44.0,147.0,1970-01-01,0.0,0.0,0.0
Russian Federation,2007-12-01,450.0,63.0,140.0,1970-01-01,169.0,8.0,47.0
Cameroon,2007-07-01,180.0,25.0,139.0,1970-01-01,0.0,0.0,0.0
Djibouti,2008-02-01,65.0,9.0,138.0,1970-01-01,0.0,0.0,0.0
Swaziland,2008-09-01,65.0,9.0,138.0,2008-10-01,30.0,12.0,400.0
Republic of Korea,2008-04-01,299.0,41.0,137.0,1970-01-01,0.0,0.0,0.0
Grenada,2008-07-01,15.0,2.0,133.0,2008-08-01,13.0,4.0,308.0
Ireland,2007-05-01,166.0,22.0,133.0,2007-07-01,60.0,13.0,217.0
Slovenia,2008-09-01,90.0,12.0,133.0,2007-11-01,40.0,1.0,25.0
Sierra Leone,2007-08-01,121.0,16.0,132.0,1970-01-01,0.0,0.0,0.0
Malawi,2004-05-01,193.0,25.0,130.0,1970-01-01,0.0,0.0,0.0
Paraguay,2008-04-01,80.0,10.0,125.0,2008-04-01,45.0,7.0,156.0
Niger,2004-12-01,113.0,14.0,124.0,1970-01-01,0.0,0.0,0.0
Syrian Arab Republic,2007-04-01,250.0,31.0,124.0,1970-01-01,0.0,0.0,0.0
Bahamas,2007-05-01,41.0,5.0,122.0,2007-05-01,15.0,9.0,600.0
Uruguay,2004-10-01,99.0,12.0,121.0,2004-10-01,31.0,4.0,129.0
Bosnia and Herzegovina,2006-10-01,42.0,5.0,119.0,2007-03-01,15.0,2.0,133.0
Thailand,2007-12-01,480.0,56.0,117.0,2008-03-01,150.0,24.0,160.0
Indonesia,2004-04-01,550.0,64.0,116.0,1970-01-01,0.0,0.0,0.0
Azerbaijan,2005-11-01,123.0,14.0,114.0,1970-01-01,0.0,0.0,0.0
Romania,2008-11-01,334.0,38.0,114.0,2008-11-01,137.0,8.0,58.0
Hungary,2006-04-01,386.0,43.0,111.0,1970-01-01,0.0,0.0,0.0
Montenegro,2006-09-01,81.0,9.0,111.0,1970-01-01,0.0,0.0,0.0
Saint Lucia,2006-12-01,18.0,2.0,111.0,2007-01-01,11.0,3.0,273.0
Togo,2007-10-01,81.0,9.0,111.0,1970-01-01,0.0,0.0,0.0
Benin,2003-03-01,83.0,9.0,108.0,1970-01-01,0.0,0.0,0.0
Malaysia,2008-03-01,222.0,24.0,108.0,1970-01-01,59.0,17.0,288.0
Antigua and Barbuda,2004-03-01,19.0,2.0,105.0,2004-03-01,17.0,4.0,235.0
Central African Republic,2005-03-01,105.0,11.0,105.0,1970-01-01,0.0,0.0,0.0
Barbados,2008-01-01,30.0,3.0,100.0,2008-02-01,21.0,4.0,190.0
Kenya,2007-12-01,224.0,22.0,98.0,1970-01-01,0.0,0.0,0.0
Gambia,2002-01-01,53.0,5.0,94.0,1970-01-01,0.0,0.0,0.0
Japan,2005-09-01,480.0,45.0,94.0,2007-07-01,242.0,44.0,182.0
India,2004-04-01,541.0,49.0,91.0,2008-06-01,243.0,23.0,95.0
Brazil,2006-10-01,513.0,46.0,90.0,2006-10-01,81.0,10.0,123.0
Cote d'Ivoire,2000-12-01,203.0,18.0,89.0,1970-01-01,0.0,0.0,0.0
Malta,2008-03-01,69.0,6.0,87.0,1970-01-01,0.0,0.0,0.0
Bhutan,2008-03-01,47.0,4.0,85.0,2007-12-01,25.0,6.0,240.0
Armenia,2007-05-01,131.0,11.0,84.0,1970-01-01,0.0,0.0,0.0
Democratic Republic of the Congo,2006-07-01,500.0,42.0,84.0,2007-01-01,108.0,5.0,46.0
Ukraine,2007-09-01,450.0,37.0,82.0,1970-01-01,0.0,0.0,0.0
Madagascar,2007-09-01,127.0,10.0,79.0,2008-04-01,33.0,5.0,152.0
Algeria,2007-05-01,389.0,30.0,77.0,2006-12-01,136.0,4.0,29.0
Congo,2007-06-01,137.0,10.0,73.0,2008-08-01,70.0,9.0,129.0
Equatorial Guinea,2008-05-01,100.0,6.0,60.0,1970-01-01,0.0,0.0,0.0
Georgia,2008-05-01,150.0,9.0,60.0,1970-01-01,0.0,0.0,0.0
Sri Lanka,2004-04-01,225.0,13.0,58.0,1970-01-01,0.0,0.0,0.0
Chad,2002-04-01,155.0,8.0,52.0,1970-01-01,0.0,0.0,0.0
Mongolia,2008-06-01,72.0,3.0,42.0,1970-01-01,0.0,0.0,0.0
Haiti,2006-02-01,98.0,4.0,41.0,2006-02-01,18.0,2.0,111.0
Vanuatu,2008-09-01,52.0,2.0,38.0,1970-01-01,0.0,0.0,0.0
Kuwait ,2008-05-01,65.0,2.0,31.0,1970-01-01,0.0,0.0,0.0
Tonga ,2008-04-01,32.0,1.0,31.0,1970-01-01,0.0,0.0,0.0
Marshall Islands,2007-11-01,33.0,1.0,30.0,1970-01-01,0.0,0.0,0.0
Iran Islamic Republic of,2008-03-01,286.0,8.0,28.0,1970-01-01,0.0,0.0,0.0
Egypt,2005-11-01,442.0,8.0,18.0,2007-06-01,264.0,18.0,68.0
Belize,2008-02-01,32.0,0.0,0.0,2008-03-01,13.0,5.0,385.0
Palau,2008-11-01,16.0,0.0,0.0,2008-11-01,13.0,2.0,154.0
Guinea-Bissau,2008-11-01,100.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
South Africa,,395.0,181.0,458.0,,53.0,20.0,377.0
Mozambique,,250.0,103.0,412.0,,,,
Argentina,,254.0,102.0,402.0,,72.0,28.0,389.0
Portugal,,230.0,89.0,387.0,,,,
United Arab Emirates,,20.0,7.0,35.0,,,,
Canada,,338.0,98.0,29.0,,105.0,49.0,467.0
Montenegro,,81.0,23.0,284.0,,,,
United States of America,,432.0,102.0,236.0,,100.0,25.0,25.0
Tunisia,,217.0,49.0,226.0,,,,
Romania,,329.0,72.0,219.0,,136.0,19.0,14.0
Uruguay,,99.0,19.0,192.0,,30.0,8.0,267.0
Oman,,86.0,2.0,23.0,,85.0,14.0,165.0
New Zealand,,120.0,58.0,483.0,,,,
South Africa,,400.0,187.0,468.0,,53.0,20.0,377.0
Belgium,,150.0,62.0,413.0,,60.0,27.0,45.0
United Republic of Tanzania,,384.0,141.0,367.0,,,,
Egypt,,591.0,162.0,274.0,,300.0,40.0,133.0
Lithuania,,141.0,38.0,27.0,,,,
Seychelles,,33.0,8.0,242.0,,,,
Georgia,,150.0,31.0,207.0,,,,
Kyrgyzstan,,115.0,19.0,165.0,,,,
Brazil,,513.0,75.0,146.0,,81.0,10.0,124.0
Ethiopia,,425.0,181.0,426.0,,144.0,44.0,306.0
United Kingdom,,648.0,222.0,343.0,,787.0,224.0,285.0
Czech Republic,,200.0,50.0,25.0,,81.0,12.0,148.0
Somalia,,275.0,67.0,244.0,,52.0,14.0,269.0
Morocco,,395.0,90.0,228.0,,120.0,15.0,125.0
Russian Federation,,450.0,73.0,162.0,,170.0,29.0,171.0
Japan,,465.0,45.0,9700000000000000.0,,244.0,56.0,23.0
New Zealand,,119.0,60.0,504.0,,,,
South Africa,,397.0,184.0,464.0,,54.0,20.0,37.0
Sweden,,349.0,162.0,464.0,,,,
Serbia,,238.0,87.0,366.0,,,,
United Kingdom,,649.0,225.0,347.0,,776.0,222.0,286.0
Saint Kitts and Nevis,,16.0,5.0,313.0,,,,
Mali,,147.0,42.0,286.0,,,,
Egypt,,591.0,163.0,276.0,,300.0,40.0,133.0
Lesotho,,121.0,32.0,265.0,,33.0,7.0,212.0
Bulgaria,,240.0,58.0,242.0,,,,
Brazil,,513.0,91.0,177.0,,81.0,13.0,161.0
Bosnia and Herzegovina,,42.0,7.0,167.0,,15.0,3.0,20.0
Jordan,,130.0,16.0,123.0,,65.0,10.0,154.0
Kuwait,,64.0,4.0,63.0,,,,
Vanuatu,,52.0,1.0,19.0,,,,
Argentina,1997-10-01,257.0,71.0,276.0,1995-12-01,72.0,4.0,56.0
Mexico,1997-07-01,500.0,71.0,142.0,1997-07-01,128.0,16.0,125.0
China,1997-10-01,2978.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Guyana,1997-12-01,65.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Honduras,1997-11-01,128.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Lao People's Democratic Rep.,1997-12-01,99.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Netherlands,1998-05-01,150.0,54.0,360.0,1970-01-01,51999.0,75.0,20.0
Germany,1998-09-01,669.0,207.0,309.0,1970-01-01,1999.0,69.0,13.0
South Africa,1999-06-01,400.0,120.0,300.0,1970-01-01,61999.0,54.0,17.0
New Zealand,1999-11-01,120.0,35.0,292.0,1970-01-01,0.0,0.0,0.0
Belgium,1999-06-01,150.0,35.0,233.0,1970-01-01,61999.0,71.0,20.0
Switzerland,1999-10-01,200.0,45.0,225.0,1970-01-01,101999.0,46.0,0.0
Australia,1998-10-01,147.0,33.0,224.0,1970-01-01,101998.0,76.0,22.0
Namibia,1994-12-01,72.0,16.0,222.0,1970-01-01,111999.0,26.0,2.0
Spain,1996-03-01,348.0,75.0,216.0,1970-01-01,31996.0,257.0,34.0
Canada,1997-06-01,301.0,62.0,206.0,1970-01-01,1999.0,105.0,32.0
United Kingdom,1997-05-01,659.0,121.0,184.0,1970-01-01,1999.0,1165.0,103.0
Mexico,1997-07-01,500.0,91.0,182.0,1970-01-01,71997.0,128.0,22.0
Dominican Republic,1998-05-01,149.0,24.0,161.0,1970-01-01,51998.0,30.0,2.0
Bahamas,1997-03-01,40.0,6.0,150.0,1970-01-01,31997.0,16.0,5.0
Czech Republic,1998-06-01,200.0,30.0,150.0,1970-01-01,111998.0,81.0,9.0
Jamaica,1997-12-01,60.0,8.0,133.0,1970-01-01,121997.0,21.0,5.0
United States of America,1998-11-01,435.0,58.0,133.0,1970-01-01,111998.0,100.0,9.0
Poland,1997-09-01,460.0,60.0,130.0,1970-01-01,91997.0,100.0,11.0
Philippines,1998-05-01,217.0,27.0,124.0,1970-01-01,51998.0,23.0,4.0
Senegal,1998-05-01,140.0,17.0,121.0,1970-01-01,11999.0,60.0,11.0
Uruguay,1999-10-01,99.0,12.0,121.0,1970-01-01,101999.0,31.0,3.0
Venezuela,1998-11-01,206.0,25.0,121.0,1970-01-01,111998.0,57.0,5.0
Ireland,1997-06-01,166.0,20.0,120.0,1970-01-01,81997.0,60.0,11.0
Colombia,1998-03-01,161.0,19.0,118.0,1970-01-01,31998.0,102.0,13.0
Bolivia,1997-06-01,130.0,15.0,115.0,1970-01-01,61997.0,27.0,1.0
Fiji,1999-05-01,71.0,8.0,113.0,1970-01-01,61999.0,32.0,8.0
Italy,1996-04-01,630.0,70.0,111.0,1970-01-01,41996.0,326.0,26.0
Saint Lucia,1997-05-01,18.0,2.0,111.0,1970-01-01,51997.0,11.0,2.0
Trinidad and Tobago,1995-11-01,36.0,4.0,111.0,1970-01-01,111995.0,31.0,9.0
France,1997-05-01,577.0,63.0,109.0,1970-01-01,91998.0,321.0,19.0
Chile,1997-12-01,120.0,13.0,108.0,1970-01-01,121997.0,48.0,2.0
Kazakhstan,1999-10-01,74.0,8.0,108.0,1970-01-01,91999.0,47.0,0.0
Barbados,1999-01-01,28.0,3.0,107.0,1970-01-01,11999.0,21.0,7.0
India,1999-09-01,545.0,46.0,84.0,1970-01-01,31998.0,220.0,19.0
Gabon,1996-12-01,120.0,10.0,83.0,1970-01-01,11997.0,91.0,10.0
Cambodia,1998-07-01,122.0,10.0,82.0,1970-01-01,1999.0,61.0,0.0
Burkina Faso,1997-05-01,111.0,9.0,81.0,1970-01-01,121995.0,176.0,21.0
Croatia,1995-10-01,127.0,10.0,79.0,1970-01-01,41997.0,68.0,4.0
Romania,1996-11-01,343.0,25.0,73.0,1970-01-01,111996.0,143.0,2.0
Guatemala,1999-11-01,113.0,8.0,71.0,1970-01-01,0.0,0.0,0.0
Belize,1998-08-01,29.0,2.0,69.0,1970-01-01,81998.0,8.0,3.0
Nepal,1999-05-01,205.0,12.0,59.0,1970-01-01,61997.0,60.0,5.0
Brazil,1998-10-01,513.0,29.0,57.0,1970-01-01,101998.0,81.0,6.0
Thailand,1996-11-01,393.0,22.0,56.0,1970-01-01,31996.0,262.0,21.0
Yugoslavia,1996-11-01,138.0,7.0,51.0,1970-01-01,31998.0,40.0,4.0
Japan,1996-10-01,500.0,23.0,46.0,1970-01-01,71998.0,252.0,43.0
Lesotho,1998-05-01,79.0,3.0,38.0,1970-01-01,51998.0,33.0,9.0
Mauritania,1996-10-01,79.0,3.0,38.0,1970-01-01,41998.0,56.0,0.0
Haiti,1995-06-01,83.0,3.0,36.0,1970-01-01,41997.0,27.0,0.0
Algeria,1997-06-01,380.0,12.0,32.0,1970-01-01,121997.0,144.0,8.0
Swaziland,1998-10-01,65.0,2.0,31.0,1970-01-01,101998.0,30.0,4.0
Paraguay,1998-05-01,80.0,2.0,25.0,1970-01-01,51998.0,45.0,8.0
Ethiopia,1995-05-01,543.0,11.0,20.0,1970-01-01,51995.0,108.0,0.0
Kyrgyzstan,1995-02-01,70.0,1.0,14.0,1970-01-01,21995.0,35.0,4.0
Morocco,1997-11-01,325.0,2.0,6.0,1970-01-01,121997.0,270.0,2.0
Jordan,1997-11-01,80.0,0.0,0.0,1970-01-01,111997.0,40.0,3.0
Palau,1996-11-01,16.0,0.0,0.0,1970-01-01,111996.0,14.0,1.0
Antigua and Barbuda,1999-03-01,19.0,0.0,0.0,1970-01-01,31999.0,17.0,0.0
Argentina,1999-10-01,257.0,0.0,0.0,1970-01-01,121998.0,72.0,4.0
Austria,1999-10-01,183.0,0.0,0.0,1970-01-01,1999.0,64.0,13.0
Belarus,1996-11-01,110.0,0.0,0.0,1970-01-01,21997.0,63.0,19.0
Bosnia and Herzegovina,1998-09-01,42.0,0.0,0.0,1970-01-01,91998.0,15.0,0.0
Georgia,1999-10-01,235.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Grenada,1999-01-01,15.0,0.0,0.0,1970-01-01,11999.0,13.0,0.0
Guinea-Bissau,1999-11-01,102.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Liberia,1997-07-01,64.0,0.0,0.0,1970-01-01,71997.0,26.0,0.0
Malaysia,1999-11-01,192.0,0.0,0.0,1970-01-01,31998.0,69.0,12.0
Maldives,1999-11-01,50.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Marshall Islands,1999-11-01,33.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Mozambique,1999-12-01,250.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Niger,1999-11-01,83.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Nigeria,1999-02-01,360.0,0.0,0.0,1970-01-01,21999.0,109.0,3.0
Russian Federation,1999-12-01,450.0,0.0,0.0,1970-01-01,1999.0,178.0,1.0
Turkmenistan,1999-12-01,50.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Uzbekistan,1999-12-01,250.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Uganda,1996-06-01,281.0,50.0,178.0,1970-01-01,0.0,0.0,0.0
Czech Republic,1998-06-01,200.0,30.0,150.0,2000-11-01,81.0,0.0,0.0
Zimbabwe,2000-06-01,150.0,14.0,93.0,1970-01-01,0.0,0.0,0.0
Republic of Moldova,1998-03-01,101.0,8.0,79.0,1970-01-01,0.0,0.0,0.0
Ethiopia,2000-05-01,546.0,42.0,77.0,2000-05-01,111.0,0.0,0.0
Canada,2000-11-01,301.0,0.0,0.0,1970-01-01,105.0,34.0,324.0
Cote d'Ivoire,2000-12-01,225.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Ghana,2000-12-01,200.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Romania,2000-11-01,341.0,0.0,0.0,2000-11-01,143.0,0.0,0.0
Trinidad and Tobago,2000-12-01,36.0,0.0,0.0,1995-11-01,31.0,9.0,290.0
United States of America,2000-11-01,435.0,0.0,0.0,2000-11-01,100.0,13.0,130.0
Germany,1998-09-01,666.0,207.0,311.0,1970-01-01,69.0,17.0,246.0
Philippines,2001-05-01,214.0,38.0,178.0,2001-05-01,23.0,0.0,0.0
Morocco,1997-11-01,325.0,2.0,6.0,2001-09-01,270.0,1.0,4.0
Argentina,2001-10-01,257.0,0.0,0.0,2001-10-01,72.0,0.0,0.0
Australia,2001-11-01,150.0,0.0,0.0,2001-11-01,76.0,0.0,0.0
Denmark,2001-11-01,179.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Nicaragua,2001-11-01,93.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Saint Lucia,2001-12-01,18.0,0.0,0.0,1997-05-01,11.0,2.0,182.0
Solomon Islands,2001-12-01,49.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Sri Lanka,2001-12-01,225.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Pakistan,2002-10-01,342.0,72.0,211.0,2002-10-01,92.0,0.0,0.0
Slovakia,2002-09-01,150.0,26.0,173.0,1970-01-01,0.0,0.0,0.0
Czech Republic,2002-06-01,200.0,34.0,170.0,2002-10-01,81.0,0.0,0.0
Brazil,2002-10-01,513.0,32.0,62.0,2002-10-01,80.0,0.0,0.0
Austria,2002-11-01,183.0,0.0,0.0,1970-01-01,62.0,13.0,210.0
Madagascar,2002-12-01,160.0,0.0,0.0,2001-03-01,90.0,0.0,0.0
Grenada,2003-11-01,15.0,4.0,267.0,2003-11-01,13.0,0.0,0.0
Australia,2001-11-01,150.0,38.0,253.0,2001-10-01,76.0,22.0,289.0
Morocco,2002-09-01,325.0,35.0,108.0,2003-10-01,270.0,0.0,0.0
Malaysia,1999-11-01,191.0,20.0,105.0,2003-01-01,54.0,20.0,370.0
Georgia ,1999-10-01,235.0,17.0,72.0,1970-01-01,0.0,0.0,0.0
Algeria,2002-05-01,389.0,24.0,62.0,2003-12-01,144.0,0.0,0.0
Croatia,2003-11-01,151.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Dem. People's Rep. of Korea,2003-08-01,687.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Norway,2001-09-01,165.0,63.0,382.0,1970-01-01,0.0,0.0,0.0
Germany,2004-04-01,400.0,131.0,328.0,2004-04-01,54.0,18.0,333.0
South Africa ,2002-09-01,601.0,197.0,328.0,1970-01-01,69.0,13.0,188.0
Bulgaria,2001-06-01,240.0,63.0,263.0,1970-01-01,0.0,0.0,0.0
Namibia ,2004-11-01,72.0,18.0,250.0,2004-11-01,26.0,7.0,269.0
Canada,2004-06-01,308.0,65.0,211.0,1970-01-01,90.0,33.0,367.0
Suriname,2000-05-01,51.0,10.0,196.0,1970-01-01,0.0,0.0,0.0
United Kingdom,2001-06-01,659.0,119.0,181.0,1970-01-01,707.0,126.0,178.0
Uzbekistan,2004-12-01,120.0,21.0,175.0,1970-01-01,0.0,0.0,0.0
Republic of Moldova,2001-02-01,101.0,16.0,158.0,1970-01-01,0.0,0.0,0.0
Malawi,2004-04-01,193.0,27.0,140.0,1970-01-01,0.0,0.0,0.0
Uruguay,2004-10-01,99.0,12.0,121.0,2004-10-01,31.0,3.0,97.0
Romania,2004-11-01,332.0,38.0,114.0,2004-11-01,137.0,13.0,95.0
Thailand,2001-01-01,453.0,40.0,88.0,2000-03-01,200.0,21.0,105.0
Congo,2002-05-01,129.0,11.0,85.0,2002-06-01,60.0,9.0,150.0
Albania,2001-06-01,140.0,9.0,64.0,1970-01-01,0.0,0.0,0.0
Togo,2002-10-01,81.0,5.0,62.0,1970-01-01,0.0,0.0,0.0
Nigeria,2003-04-01,360.0,17.0,47.0,2003-04-01,109.0,3.0,28.0
Turkmenistan,2004-12-01,50.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Argentina,2005-10-01,257.0,93.0,362.0,2005-10-01,72.0,30.0,417.0
Ethiopia,2005-05-01,546.0,117.0,214.0,2005-10-01,112.0,21.0,188.0
Venezuela,2005-12-01,167.0,29.0,174.0,1970-01-01,0.0,0.0,0.0
Chile,2005-12-01,120.0,18.0,150.0,2005-12-01,48.0,2.0,42.0
Azerbaijan,2005-11-01,115.0,15.0,130.0,1970-01-01,0.0,0.0,0.0
Jordan,2003-06-01,110.0,6.0,55.0,2005-11-01,55.0,6.0,109.0
Libyan Arab Jamahiriya,2003-03-01,760.0,36.0,47.0,1970-01-01,0.0,0.0,0.0
Egypt,2005-11-01,454.0,9.0,20.0,2004-05-01,264.0,18.0,68.0
Kyrgyzstan,2005-02-01,75.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Iraq,2005-12-01,275.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Rwanda,2003-09-01,80.0,39.0,48.8,2003-09-01,26.0,9.0,346.0
Sweden,2006-09-01,349.0,165.0,47.3,1970-01-01,0.0,0.0,0.0
Costa Rica,2006-02-01,57.0,22.0,38.6,1970-01-01,0.0,0.0,0.0
Finland,2003-03-01,200.0,76.0,38.0,1970-01-01,0.0,0.0,0.0
Norway,2005-09-01,169.0,64.0,37.9,1970-01-01,0.0,0.0,0.0
Denmark,2005-02-01,179.0,66.0,36.9,1970-01-01,0.0,0.0,0.0
Netherlands,2006-11-01,150.0,55.0,36.7,2003-06-01,75.0,22.0,293.0
Cuba,2003-01-01,609.0,219.0,36.0,1970-01-01,0.0,0.0,0.0
Spain,2004-03-01,350.0,126.0,36.0,2004-03-01,259.0,60.0,232.0
Argentina,2005-10-01,257.0,90.0,35.0,2005-10-01,72.0,31.0,431.0
Mozambique,2004-12-01,250.0,87.0,34.8,1970-01-01,0.0,0.0,0.0
Belgium,2003-05-01,150.0,52.0,34.7,2003-05-01,71.0,27.0,380.0
Iceland,2003-05-01,63.0,21.0,33.3,1970-01-01,0.0,0.0,0.0
South Africa ,2004-04-01,400.0,131.0,32.8,2004-04-01,54.0,18.0,333.0
Austria,2006-10-01,183.0,59.0,32.2,1970-01-01,62.0,17.0,274.0
New Zealand,2005-09-01,121.0,39.0,32.2,1970-01-01,0.0,0.0,0.0
Germany,2005-09-01,614.0,194.0,31.6,1970-01-01,69.0,15.0,217.0
Burundi,2005-07-01,118.0,36.0,30.5,2005-07-01,49.0,17.0,347.0
United Rep. of Tanzania,2005-12-01,319.0,97.0,30.4,1970-01-01,0.0,0.0,0.0
Uganda,2006-02-01,332.0,99.0,29.8,1970-01-01,0.0,0.0,0.0
Seychelles,2002-12-01,34.0,10.0,29.4,1970-01-01,0.0,0.0,0.0
Peru,2006-04-01,120.0,35.0,29.2,1970-01-01,0.0,0.0,0.0
Belarus,2004-10-01,110.0,32.0,29.1,2004-11-01,58.0,18.0,310.0
Guyana,2006-08-01,69.0,20.0,29.0,1970-01-01,0.0,0.0,0.0
Andorra,2005-04-01,28.0,8.0,28.6,1970-01-01,0.0,0.0,0.0
The F.Y.R. of Macedonia,2006-07-01,120.0,34.0,28.3,1970-01-01,0.0,0.0,0.0
Afghanistan,2005-09-01,249.0,68.0,27.3,2005-09-01,102.0,23.0,225.0
Viet Nam,2002-05-01,498.0,136.0,27.3,1970-01-01,0.0,0.0,0.0
Namibia,2004-11-01,78.0,21.0,26.9,2004-11-01,26.0,7.0,269.0
Grenada,2003-11-01,15.0,4.0,26.7,2003-11-01,13.0,4.0,308.0
Iraq,2005-12-01,275.0,70.0,25.5,1970-01-01,0.0,0.0,0.0
Suriname,2005-05-01,51.0,13.0,25.5,1970-01-01,0.0,0.0,0.0
Timor-Leste ,2001-08-01,87.0,22.0,25.3,1970-01-01,0.0,0.0,0.0
Lao People's Democratic Rep.,2006-04-01,115.0,29.0,25.2,1970-01-01,0.0,0.0,0.0
Ecuador,2006-10-01,100.0,25.0,25.0,1970-01-01,0.0,0.0,0.0
Switzerland,2003-10-01,200.0,50.0,25.0,2003-10-01,46.0,11.0,239.0
Lithuania,2004-10-01,141.0,35.0,24.8,1970-01-01,0.0,0.0,0.0
Australia,2004-10-01,150.0,37.0,24.7,2004-10-01,76.0,27.0,355.0
Liechtenstein,2005-03-01,25.0,6.0,24.0,1970-01-01,0.0,0.0,0.0
Honduras,2005-11-01,128.0,30.0,23.4,1970-01-01,0.0,0.0,0.0
Luxembourg,2004-06-01,60.0,14.0,23.3,1970-01-01,0.0,0.0,0.0
Tunisia,2004-10-01,189.0,43.0,22.8,2005-07-01,112.0,15.0,134.0
Mexico,2006-07-01,500.0,113.0,22.6,2006-07-01,128.0,22.0,172.0
Bulgaria,2005-06-01,240.0,53.0,22.1,1970-01-01,0.0,0.0,0.0
Eritrea,1994-02-01,150.0,33.0,22.0,1970-01-01,0.0,0.0,0.0
Ethiopia,2005-05-01,529.0,116.0,21.9,2005-10-01,112.0,21.0,188.0
Republic of Moldova,2005-03-01,101.0,22.0,21.8,1970-01-01,0.0,0.0,0.0
Croatia,2003-11-01,152.0,33.0,21.7,1970-01-01,0.0,0.0,0.0
Pakistan,2002-10-01,342.0,73.0,21.3,2006-03-01,100.0,17.0,170.0
Portugal,2005-02-01,230.0,49.0,21.3,1970-01-01,0.0,0.0,0.0
Singapore ,2006-05-01,85.0,18.0,21.2,1970-01-01,0.0,0.0,0.0
Canada,2006-01-01,308.0,64.0,20.8,1970-01-01,100.0,35.0,350.0
Monaco,2003-02-01,24.0,5.0,20.8,1970-01-01,0.0,0.0,0.0
Poland,2005-09-01,460.0,94.0,20.4,2005-09-01,100.0,13.0,130.0
China,2003-02-01,2980.0,604.0,20.3,1970-01-01,0.0,0.0,0.0
Dem. People's Rep. of Korea,2003-08-01,687.0,138.0,20.1,1970-01-01,0.0,0.0,0.0
Bahamas,2002-05-01,40.0,8.0,20.0,2002-05-01,16.0,7.0,438.0
Slovakia,2006-06-01,150.0,30.0,20.0,1970-01-01,0.0,0.0,0.0
Dominican Republic,2006-05-01,178.0,35.0,19.7,2006-05-01,32.0,1.0,31.0
United Kingdom,2005-05-01,646.0,127.0,19.7,1970-01-01,751.0,142.0,189.0
Trinidad and Tobago,2002-10-01,36.0,7.0,19.4,2002-10-01,31.0,10.0,323.0
Guinea,2002-06-01,114.0,22.0,19.3,1970-01-01,0.0,0.0,0.0
Senegal,2001-04-01,120.0,23.0,19.2,1970-01-01,0.0,0.0,0.0
Latvia,2006-10-01,100.0,19.0,19.0,1970-01-01,0.0,0.0,0.0
Estonia,2003-03-01,101.0,19.0,18.8,1970-01-01,0.0,0.0,0.0
Saint Vincent & the Grenadines,2005-12-01,22.0,4.0,18.2,1970-01-01,0.0,0.0,0.0
